service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20250106,20250420
1,1,1,1,1,1,0,0,20250106,20250420
101,0,0,0,0,0,0,0,20250106,20250420
1101,0,0,0,0,0,0,0,20250106,20250420
1201,0,0,0,0,0,0,0,20250106,20250420
152201,0,0,0,0,0,0,0,20250106,20250420
152301,0,0,0,0,0,0,0,20250106,20250420
155601,0,0,0,0,0,0,0,20250106,20250420
162503,0,0,0,0,0,0,0,20250106,20250420
162601,0,0,0,0,0,0,0,20250106,20250420
169801,0,0,0,0,0,0,0,20250106,20250420
1803,0,0,0,0,0,0,0,20250106,20250420
1901,0,0,0,0,0,0,0,20250106,20250420
2,0,0,0,0,0,1,0,20250106,20250420
2001,0,0,0,0,0,0,0,20250106,20250420
201,0,0,0,0,0,0,0,20250106,20250420
253403,0,0,0,0,0,0,0,20250106,20250420
259701,0,0,0,0,0,0,0,20250106,20250420
259702,0,0,0,0,0,0,0,20250106,20250420
259703,0,0,0,0,0,0,0,20250106,20250420
3,0,0,0,0,0,0,1,20250106,20250420
32603,0,0,0,0,0,0,0,20250106,20250420
401,0,0,0,0,0,0,0,20250106,20250420
4901,0,0,0,0,0,0,0,20250106,20250420
4902,0,0,0,0,0,0,0,20250106,20250420
4903,0,0,0,0,0,0,0,20250106,20250420
62101,0,0,0,0,0,0,0,20250106,20250420
62201,0,0,0,0,0,0,0,20250106,20250420
701,0,0,0,0,0,0,0,20250106,20250420
75301,0,0,0,0,0,0,0,20250106,20250420
75401,0,0,0,0,0,0,0,20250106,20250420
801,0,0,0,0,0,0,0,20250106,20250420
